idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,5.0,64.0,4.0,1.0,7.02130845,700.0,10820.9706529,1.0
1,5.0,64.0,4.0,1.0,7.02130845,700.0,10820.9706529,1.0
2,5.0,159.0,114.0,1.0,6.61519036,2750.0,10820.9706529,1.0
3,5.0,159.0,114.0,1.0,6.61519036,2750.0,10820.9706529,1.0
4,2.0,1.0,2.0,1.0,10.61027593,50.0,10820.9706529,1.0
5,2.0,1.0,2.0,1.0,10.61027593,50.0,10820.9706529,1.0
6,5.0,51.0,31.0,1.0,7.00437463,840.0,10820.9706529,1.0
7,5.0,174.0,4.0,1.0,6.62411811,1800.0,10820.9706529,1.0
8,4.0,64.0,68.0,1.0,7.00426113,1340.0,10820.9706529,1.0
9,4.0,121.0,19.0,1.0,6.85560648,1420.0,10820.9706529,1.0
10,5.0,196.0,104.0,1.0,6.58099377,3020.0,10820.9706529,1.0
11,1.0,41.0,29.0,2.0,8.24271076,700.0,10820.9706529,1.0
12,1.0,66.0,6.0,2.0,8.15715652,720.0,10820.9706529,1.0
13,5.0,8.0,120.0,1.0,7.03466009,1300.0,10820.9706529,1.0
14,5.0,8.0,120.0,1.0,7.03466009,1300.0,10820.9706529,1.0
15,4.0,72.0,47.0,2.0,7.06478097,1190.0,10820.9706529,1.0
16,2.0,43.0,43.0,2.0,8.06732719,860.0,10820.9706529,1.0
17,3.0,6.0,93.0,2.0,7.99145395,990.0,10820.9706529,1.0
18,3.0,6.0,93.0,2.0,7.99145395,990.0,10820.9706529,1.0
19,5.0,66.0,190.0,2.0,6.77115577,2560.0,10820.9706529,1.0
20,4.0,179.0,81.0,1.0,6.75578089,2620.0,10820.9706529,1.0
21,5.0,41.0,182.0,2.0,6.82478487,2230.0,10820.9706529,1.0
22,5.0,64.0,182.0,2.0,6.77165986,2460.0,10820.9706529,1.0
23,4.0,89.0,132.0,2.0,6.91704856,2210.0,10820.9706529,1.0
24,4.0,89.0,93.0,2.0,6.91791371,1820.0,10820.9706529,1.0
25,5.0,174.0,182.0,2.0,6.5842502,3560.0,10820.9706529,1.0
26,2.0,38.0,68.0,1.0,7.99771897,1080.0,10820.9706529,1.0
27,2.0,38.0,68.0,1.0,7.99771897,1080.0,10820.9706529,1.0
0,5.0,64.0,4.0,1.0,7.02130845,700.0,11066.3564774,2.0
1,5.0,64.0,4.0,1.0,7.02130845,700.0,11066.3564774,2.0
2,5.0,64.0,4.0,1.0,7.02130845,700.0,11066.3564774,2.0
3,2.0,1.0,2.0,1.0,10.61027593,50.0,11066.3564774,2.0
4,2.0,1.0,2.0,1.0,10.61027593,50.0,11066.3564774,2.0
5,2.0,1.0,2.0,1.0,10.61027593,50.0,11066.3564774,2.0
6,5.0,51.0,31.0,1.0,7.00437463,840.0,11066.3564774,2.0
7,5.0,174.0,4.0,1.0,6.62411811,1800.0,11066.3564774,2.0
8,5.0,174.0,4.0,1.0,6.62411811,1800.0,11066.3564774,2.0
9,4.0,64.0,68.0,1.0,7.00426113,1340.0,11066.3564774,2.0
10,4.0,121.0,19.0,1.0,6.85560648,1420.0,11066.3564774,2.0
11,4.0,121.0,19.0,1.0,6.85560648,1420.0,11066.3564774,2.0
12,5.0,196.0,104.0,1.0,6.58099377,3020.0,11066.3564774,2.0
13,5.0,196.0,104.0,1.0,6.58099377,3020.0,11066.3564774,2.0
14,2.0,38.0,29.0,2.0,8.07435981,670.0,11066.3564774,2.0
15,5.0,174.0,19.0,1.0,6.61322346,1950.0,11066.3564774,2.0
16,5.0,166.0,4.0,2.0,6.66193265,1700.0,11066.3564774,2.0
17,2.0,15.0,43.0,2.0,8.23330608,580.0,11066.3564774,2.0
18,5.0,174.0,182.0,2.0,6.5842502,3560.0,11066.3564774,2.0
19,1.0,64.0,4.0,1.0,8.1263666,700.0,11066.3564774,2.0
20,5.0,66.0,6.0,1.0,7.05406611,740.0,11066.3564774,2.0
21,5.0,1.0,123.0,1.0,7.03111238,1260.0,11066.3564774,2.0
22,5.0,188.0,22.0,1.0,6.63127838,2120.0,11066.3564774,2.0
23,5.0,159.0,114.0,1.0,6.61519036,2750.0,11066.3564774,2.0
24,5.0,43.0,160.0,2.0,6.85717622,2030.0,11066.3564774,2.0
25,5.0,159.0,114.0,1.0,6.61519036,2750.0,11066.3564774,2.0
26,4.0,89.0,93.0,2.0,6.91791371,1820.0,11066.3564774,2.0
27,4.0,89.0,93.0,2.0,6.91791371,1820.0,11066.3564774,2.0
0,5.0,64.0,4.0,1.0,7.02130845,700.0,11620.8532345,3.0
1,5.0,64.0,4.0,1.0,7.02130845,700.0,11620.8532345,3.0
2,5.0,64.0,4.0,1.0,7.02130845,700.0,11620.8532345,3.0
3,5.0,64.0,4.0,1.0,7.02130845,700.0,11620.8532345,3.0
4,5.0,64.0,4.0,1.0,7.02130845,700.0,11620.8532345,3.0
5,2.0,1.0,2.0,1.0,10.61027593,50.0,11620.8532345,3.0
6,2.0,1.0,2.0,1.0,10.61027593,50.0,11620.8532345,3.0
7,2.0,1.0,2.0,1.0,10.61027593,50.0,11620.8532345,3.0
8,5.0,51.0,31.0,1.0,7.00437463,840.0,11620.8532345,3.0
9,5.0,51.0,31.0,1.0,7.00437463,840.0,11620.8532345,3.0
10,5.0,174.0,4.0,1.0,6.62411811,1800.0,11620.8532345,3.0
11,5.0,174.0,4.0,1.0,6.62411811,1800.0,11620.8532345,3.0
12,5.0,196.0,104.0,1.0,6.58099377,3020.0,11620.8532345,3.0
13,5.0,196.0,104.0,1.0,6.58099377,3020.0,11620.8532345,3.0
14,5.0,196.0,104.0,1.0,6.58099377,3020.0,11620.8532345,3.0
15,5.0,174.0,19.0,1.0,6.61322346,1950.0,11620.8532345,3.0
16,5.0,166.0,4.0,2.0,6.66193265,1700.0,11620.8532345,3.0
17,5.0,166.0,4.0,2.0,6.66193265,1700.0,11620.8532345,3.0
18,5.0,99.0,19.0,1.0,6.79438623,1200.0,11620.8532345,3.0
19,5.0,64.0,4.0,2.0,7.04311393,680.0,11620.8532345,3.0
