idx,params_1,params_2,params_3,params_4,fitness,penalty,val_rmse,gen
0,5.0,115.0,6.0,2.0,6.8712,0.12100000000000001,6.7501999999999995,1.0
1,5.0,169.0,67.0,2.0,6.8496,0.23600000000000002,6.6136,1.0
2,5.0,174.0,109.0,2.0,6.9029,0.28300000000000003,6.6198999999999995,1.0
3,5.0,123.0,114.0,1.0,6.9234,0.23900000000000002,6.6844,1.0
4,5.0,141.0,129.0,2.0,6.908,0.27,6.638,1.0
5,5.0,71.0,116.0,2.0,6.9661,0.187,6.7791,1.0
6,5.0,57.0,62.0,1.0,7.0062,0.12100000000000001,6.885199999999999,1.0
7,5.0,86.0,139.0,1.0,6.9794,0.227,6.7524,1.0
8,5.0,195.0,108.0,1.0,6.8729,0.305,6.5679,1.0
9,4.0,71.0,42.0,1.0,7.2207,0.115,7.1057,1.0
10,5.0,182.0,121.0,1.0,6.914,0.305,6.609,1.0
11,5.0,127.0,86.0,1.0,6.9075,0.215,6.6925,1.0
12,4.0,151.0,162.0,2.0,7.0997,0.313,6.786700000000001,1.0
13,5.0,57.0,62.0,1.0,7.0062,0.12100000000000001,6.885199999999999,1.0
14,5.0,115.0,24.0,1.0,6.8466,0.14100000000000001,6.7056,1.0
15,3.0,131.0,126.0,1.0,7.2466,0.259,6.9876,1.0
16,5.0,131.0,126.0,1.0,6.9114,0.259,6.6524,1.0
17,5.0,86.0,139.0,1.0,6.9794,0.227,6.7524,1.0
18,5.0,141.0,151.0,2.0,6.9389,0.29200000000000004,6.6469000000000005,1.0
19,3.0,121.0,144.0,1.0,7.2854,0.267,7.0184,1.0
20,3.0,148.0,62.0,2.0,7.2215,0.21000000000000002,7.0115,1.0
21,3.0,112.0,81.0,2.0,7.3021,0.193,7.109100000000001,1.0
22,5.0,169.0,67.0,2.0,6.8496,0.23600000000000002,6.6136,1.0
23,3.0,174.0,151.0,2.0,7.2527,0.325,6.9277,1.0
24,3.0,22.0,84.0,1.0,7.9093,0.108,7.8013,1.0
25,5.0,71.0,134.0,1.0,7.0074,0.20700000000000002,6.8004,1.0
26,5.0,136.0,4.0,1.0,6.8296,0.14200000000000002,6.6876,1.0
27,5.0,71.0,116.0,2.0,6.9661,0.187,6.7791,1.0
28,5.0,10.0,21.0,2.0,7.8431,0.031,7.8121,1.0
