idx,params_1,params_2,params_3,params_4,fitness,penalty,val_rmse,gen
0,5.0,9.0,110.0,2.0,8.32660013,0.11900000000000001,8.20760013,1.0
1,3.0,63.0,58.0,1.0,7.65775351,0.12300000000000001,7.53475351,1.0
2,5.0,28.0,12.0,2.0,8.54072427,0.04,8.500724270000001,1.0
3,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,1.0
4,1.0,64.0,191.0,2.0,8.44824307,0.255,8.19324307,1.0
5,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,1.0
6,2.0,78.0,138.0,2.0,7.94174956,0.216,7.72574956,1.0
7,2.0,170.0,167.0,1.0,8.01423222,0.339,7.67523222,1.0
8,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,1.0
9,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,1.0
10,3.0,37.0,159.0,1.0,8.08227311,0.198,7.884273109999999,1.0
11,2.0,78.0,138.0,2.0,7.94174956,0.216,7.72574956,1.0
12,2.0,81.0,171.0,2.0,8.01839316,0.252,7.766393160000001,1.0
13,1.0,153.0,36.0,2.0,8.1858198,0.189,7.996819800000001,1.0
14,1.0,134.0,126.0,2.0,8.28147636,0.26,8.02147636,1.0
15,5.0,41.0,58.0,2.0,8.28269277,0.099,8.18369277,1.0
16,3.0,156.0,169.0,1.0,8.19276747,0.327,7.86576747,1.0
17,1.0,69.0,117.0,2.0,8.37288291,0.186,8.18688291,1.0
18,5.0,153.0,39.0,2.0,8.32448854,0.192,8.13248854,1.0
19,1.0,199.0,198.0,1.0,8.25837106,0.399,7.85937106,1.0
20,4.0,43.0,49.0,2.0,8.62801061,0.092,8.53601061,1.0
21,2.0,15.0,9.0,2.0,8.496143,0.024,8.472143,1.0
22,5.0,178.0,128.0,1.0,7.99042377,0.308,7.68242377,1.0
23,1.0,69.0,117.0,2.0,8.37288291,0.186,8.18688291,1.0
24,2.0,170.0,167.0,1.0,8.01423222,0.339,7.67523222,1.0
25,2.0,123.0,198.0,2.0,8.04132481,0.321,7.720324810000001,1.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,1.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,1.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,1.0
29,4.0,104.0,191.0,2.0,8.47167132,0.29500000000000004,8.17667132,1.0
0,3.0,112.0,58.0,2.0,7.9079425,0.17,7.7379425,2.0
1,3.0,63.0,58.0,1.0,7.65775351,0.12300000000000001,7.53475351,2.0
2,5.0,28.0,12.0,2.0,8.54072427,0.04,8.500724270000001,2.0
3,3.0,63.0,58.0,1.0,7.65775351,0.12300000000000001,7.53475351,2.0
4,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,2.0
5,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,2.0
6,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,2.0
7,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,2.0
8,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,2.0
9,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,2.0
10,3.0,37.0,159.0,1.0,8.08227311,0.198,7.884273109999999,2.0
11,2.0,78.0,138.0,2.0,7.94174956,0.216,7.72574956,2.0
12,2.0,170.0,167.0,1.0,8.01423222,0.339,7.67523222,2.0
13,2.0,81.0,171.0,2.0,8.01839316,0.252,7.766393160000001,2.0
14,2.0,149.0,163.0,2.0,7.69278275,0.312,7.38078275,2.0
15,3.0,37.0,159.0,1.0,8.08227311,0.198,7.884273109999999,2.0
16,1.0,153.0,36.0,2.0,8.1858198,0.189,7.996819800000001,2.0
